num,answers,type,choices
1,"2",text,4
2,"2",text,4
3,"1",text,4
4,"1",text,4
5,"2",text,4
6,"1",text,4
7,"1",text,4
8,"1|4",text,4
9,"3",text,4
10,"4",text,4
11,"3",text,4
12,"4",text,4
13,"2",text,4
14,"2",text,4
15,"3|4",text,4
16,"1",text,4
17,"4",text,4
18,"1|2",text,4
19,"2",text,4
20,"1",text,4
21,"3",text,4
22,"4",text,4
23,"3",text,4
24,"3",text,4
25,"1",text,4
26,"4",text,4
27,"4",text,4
28,"2",text,4
29,"1|2",text,4
30,"3",text,4
31,"4",text,4
32,"1",text,4
33,"1",text,4
34,"3",text,4
35,"2",text,4
36,"2",text,4
37,"4",img,4
38,"3",text,4
39,"3",text,4
40,"3",text,4
41,"1|2",text,4
42,"2",text,4
43,"4",text,4
44,"3",text,4
45,"2",text,4
46,"4",text,4
47,"4",img,4
48,"4",text,4
49,"3",text,4
50,"3",text,4
51,"2",text,4
52,"4",text,4
53,"1",text,4
54,"3",text,4
55,"1",text,4
56,"4",text,4
57,"1|4",text,4
58,"2",text,4
59,"1",text,4
60,"4",text,4
61,"2|4",text,4
62,"2",text,4
63,"3",text,4
64,"2",text,4
65,"3",text,4
66,"1",text,4
67,"3",text,4
68,"1",text,4
69,"2",text,4
70,"1",text,4
71,"1",text,4
72,"1",text,4
73,"2",text,4
74,"2",text,4
75,"2",text,4
76,"2|3",text,4
77,"4",text,4
78,"1",text,4
79,"4",text,4
80,"1",text,4
81,"3",text,4
82,"3",text,4
83,"1",text,4
84,"4",text,4
85,"2",text,4
86,"4",text,4
87,"3",text,4
88,"4",text,4
89,"1|2",text,4
90,"3|4",text,4
91,"4",text,4
92,"2|4",text,4
93,"3",text,4
94,"3",text,4
95,"2",text,4
96,"1",text,4
97,"2",text,4
98,"4",text,4
99,"4",text,4
100,"2",text,4
101,"3",text,4
102,"4",text,4
103,"4",text,4
104,"1",text,4
105,"3",text,4
106,"3",text,4
107,"4",text,4
108,"3",text,4
109,"2",text,4
110,"1|4",text,4
111,"1|4",text,4
112,"1|4",text,4
113,"2|3",text,4
114,"1|4",text,4
115,"2|4",text,4
116,"2",text,4
117,"3",text,4
118,"1",text,4
119,"3",text,4
120,"1",text,4
121,"3",text,4
